Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       8/112515609     _remove [71]
                0.00    0.00       9/112515609     cdddr [222]
                0.00    0.00       9/112515609     symbol_exist_in_improper_list [207]
                0.00    0.00       9/112515609     add_defs_to_context [185]
                0.00    0.00      10/112515609     mk_set_var_values [128]
                0.00    0.00      10/112515609     find_matching_match_clause [115]
                0.00    0.00      16/112515609     let_to_combination <cycle 4> [145]
                0.00    0.00      16/112515609     cond_clauses [210]
                0.00    0.00      16/112515609     rest_exps [209]
                0.00    0.00      16/112515609     find [201]
                0.00    0.00      16/112515609     pattern_match [116]
                0.00    0.00      32/112515609     define_scan [181]
                0.00    0.00      33/112515609     quasiquote_to_list [112]
                0.00    0.00      37/112515609     sexp_quotation_value [70]
                0.00    0.00      49/112515609     expand_cond_clauses <cycle 4> [150]
                0.00    0.00      49/112515609     cond_actions [192]
                0.00    0.00      57/112515609     if_sexp_predicate [182]
                0.00    0.00      63/112515609     caadr [170]
                0.00    0.00      64/112515609     _unzip_ [144]
                0.00    0.00      64/112515609     is_define [103]
                0.00    0.00      70/112515609     cadr [174]
                0.00    0.00      73/112515609     sexp_definition_variable [173]
                0.00    0.00      85/112515609     lambda_sexp_parameters [171]
                0.00    0.00     107/112515609     is_improper_list [179]
                0.00    0.00     107/112515609     scan_internal_defs [140]
                0.00    0.00     110/112515609     _cons_procedure_ [146]
                0.00    0.00     114/112515609     if_sexp_consequent [168]
                0.00    0.00     126/112515609     cdadr [166]
                0.00    0.00     128/112515609     sexp_definition_value [164]
                0.00    0.00     170/112515609     lambda_sexp_body [165]
                0.00    0.00     174/112515609     cddr [163]
                0.00    0.00     333/112515609     if_sexp_alternative [157]
                0.00    0.00     514/112515609     symbol_to_bound_var [122]
                0.00    0.00     968/112515609     exp_to_name_free_exp <cycle 2> [91]
                0.00    0.00    1117/112515609     get_var_index [127]
                0.00    0.00    1436/112515609     xlat_sequence <cycle 4> [119]
                0.00    0.00 1346270/112515609     _it_bin_pred [22]
                0.01    0.00 2692567/112515609     _sub_numbers [31]
                0.01    0.00 2692567/112515609     sub_numbers [26]
                0.01    0.00 2692602/112515609     fold_right [38]
                0.01    0.00 2692726/112515609     is_last_exp [67]
                0.01    0.00 4870941/112515609     it_bin_pred [18]
