Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.07% of 15.31 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.1    0.00   15.17                 main [1]
                0.00   14.55       1/1           populate_initial_environment [3]
                0.00    0.59       1/1           script_mode [23]
                0.00    0.02       1/1           gr_init [79]
                0.00    0.01       1/1           init_primitive_procedures [112]
                0.00    0.00       1/1           init_symbol_table [121]
                0.00    0.00       1/4778        mk_symbol [61]
                0.00    0.00       1/65          define_variable [124]
                0.00    0.00       1/1           get_global_env [246]
-----------------------------------------------
[2]     97.5    2.12   12.81      52+61068101 <cycle 1 as a whole> [2]
                1.97   10.79      58             hairy_eval <cycle 1> [4]
                0.14    2.01 61068025             apply_primitive_procedure <cycle 1> [8]
                0.01    0.01       6             data_eval <cycle 1> [93]
                0.00    0.00      58             eval <cycle 1> [116]
                0.00    0.00       6             _data_eval_procedure_ <cycle 1> [209]
-----------------------------------------------
                0.00   14.55       1/1           main [1]
[3]     95.0    0.00   14.55       1         populate_initial_environment [3]
                2.03   12.32      50/52          eval <cycle 1> [116]
                0.11    0.00      50/53          stack_init [48]
                0.00    0.05      50/58          xlat <cycle 4> [70]
                0.00    0.04      51/54          read_from_file [66]
                0.00    0.00     102/114         is_eof_object [270]
-----------------------------------------------
                                  58             eval <cycle 1> [116]
[4]     83.3    1.97   10.79      58         hairy_eval <cycle 1> [4]
                0.23    2.52 79523043/79523043     lookup_unbound_var [5]
                1.75    0.00 760498976/760498976     save [9]
                1.58    0.00 760498976/760498976     restore [10]
                0.36    0.76 79523086/79523378     reverse [11]
                0.34    0.58 140591083/140600067     cons [14]
                0.18    0.28 140591087/140591087     first_operand [27]
                0.23    0.18 140591087/140591087     last_operand [28]
                0.10    0.20 51840589/51840589     lookup_variable_value [35]
                0.11    0.10 79523066/79523066     operands [37]
                0.04    0.16 79523066/79523066     operator [41]
                0.08    0.08 18455045/18455045     check_procedure_arg_len [44]
                0.07    0.08 61068017/61068017     rest_operands [45]
                0.04    0.10 18455053/18455053     extend_environment [46]
                0.07    0.04 18455045/18455045     procedure_environment [49]
                0.10    0.00 79523070/79523070     no_operands [52]
                0.05    0.04 18455053/55365342     length [36]
                0.05    0.02 18455069/18455118     is_last_exp [55]
                0.07    0.00 79523302/232867458     nil [40]
                0.02    0.04 18455045/18455045     procedure_body [56]
                0.02    0.04 18455069/18455118     first_exp [60]
                0.03    0.01 18455045/18455045     procedure_parameters [64]
                0.04    0.00 33385410/33385423     is_true [69]
                0.02    0.00       4/4           is_list [86]
                0.01    0.00       4/8           append [98]
                0.00    0.00      63/65          define_variable [124]
                0.00    0.00      10/10          find_matching_match_clause [130]
                0.00    0.00      76/76          mk_procedure [171]
                0.00    0.00      16/16          rest_exps [230]
                0.00    0.00       4/62          mk_none [213]
                0.00    0.00       2/2           set_variable_value [260]
                             61068025             apply_primitive_procedure <cycle 1> [8]
-----------------------------------------------
                0.23    2.52 79523043/79523043     hairy_eval <cycle 1> [4]
[5]     18.0    0.23    2.52 79523043         lookup_unbound_var [5]
                0.14    2.38 79523043/79523043     global_env_lookup_var [6]
-----------------------------------------------
                0.14    2.38 79523043/79523043     lookup_unbound_var [5]
[6]     16.5    0.14    2.38 79523043         global_env_lookup_var [6]
                0.19    2.19 79523043/79529815     hash_table_ref [7]
-----------------------------------------------
                0.00    0.00    1994/79529815     hash_table_set [80]
                0.00    0.00    4778/79529815     mk_symbol [61]
                0.19    2.19 79523043/79529815     global_env_lookup_var [6]
[7]     15.6    0.19    2.20 79529815         hash_table_ref [7]
                0.28    0.51 79529815/79529815     _find [16]
                0.26    0.51 79529815/79531817     vector_ref [17]
                0.32    0.32 79529815/79533811     get_index [22]
-----------------------------------------------
                             61068025             hairy_eval <cycle 1> [4]
[8]     14.0    0.14    2.01 61068025         apply_primitive_procedure <cycle 1> [8]
                0.05    0.81 18454959/18454959     _minus_procedure_ [15]
                0.05    0.65 33385344/33385344     _equal_procedure_ [19]
                0.03    0.37 9227464/9227464     _plus_procedure_ [29]
                0.00    0.02       2/2           _string_to_symbol_procedure_ [81]
                0.00    0.02       2/2           _symbol_to_string_procedure_ [85]
                0.00    0.00       2/2           _string_append_procedure_ [119]
                0.00    0.00     110/110         _cons_procedure_ [156]
                0.00    0.00      31/31          _mul_procedure_ [169]
                0.00    0.00      32/32          _less_procedure_ [172]
                0.00    0.00      34/34          _IS_NIL_procedure_ [180]
                0.00    0.00       8/8           _reverse_procedure_ [197]
                0.00    0.00      14/14          _car_procedure_ [200]
                0.00    0.00       8/8           _cdr_procedure_ [208]
                0.00    0.00       4/4           _caar_procedure_ [216]
                0.00    0.00       4/4           _cdar_procedure_ [218]
                0.00    0.00       1/1           _display_procedure_ [236]
                                   6             _data_eval_procedure_ <cycle 1> [209]
-----------------------------------------------
                1.75    0.00 760498976/760498976     hairy_eval <cycle 1> [4]
[9]     11.4    1.75    0.00 760498976         save [9]
-----------------------------------------------
                1.58    0.00 760498976/760498976     hairy_eval <cycle 1> [4]
[10]    10.3    1.58    0.00 760498976         restore [10]
-----------------------------------------------
                0.00    0.00       1/79523378     mk_command_line_list [120]
                0.00    0.00       8/79523378     _reverse_procedure_ [197]
                0.00    0.00      46/79523378     _unzip_ [167]
                0.00    0.00      85/79523378     scan_internal_defs [157]
                0.00    0.00     152/79523378     mk_list [155]
                0.36    0.76 79523086/79523378     hairy_eval <cycle 1> [4]
[11]     7.3    0.36    0.76 79523378         reverse [11]
                0.30    0.21 140591383/140591387     set_cdr [25]
                0.18    0.00 140591383/710018448     cdr [13]
                0.07    0.00 79523296/232867458     nil [40]
-----------------------------------------------
                0.00    0.00       1/519808999     _display_procedure_ [236]
                0.00    0.00       2/519808999     sexp_match_key [248]
                0.00    0.00       2/519808999     get_vars_from_match [141]
                0.00    0.00       2/519808999     _symbol_to_string_procedure_ [85]
                0.00    0.00       2/519808999     _string_to_symbol_procedure_ [81]
                0.00    0.00       3/519808999     caddr [237]
                0.00    0.00       3/519808999     named_let_to_letrec <cycle 4> [138]
                0.00    0.00       4/519808999     inner_or_to_if <cycle 4> [203]
                0.00    0.00       4/519808999     letrec_to_let <cycle 4> [90]
                0.00    0.00       4/519808999     cdar [238]
                0.00    0.00       4/519808999     sexp_apply_procedure [239]
                0.00    0.00       4/519808999     _caar_procedure_ [216]
                0.00    0.00       4/519808999     _cdar_procedure_ [218]
                0.00    0.00       5/519808999     mk_unassigned_vars [107]
                0.00    0.00       6/519808999     match_clauses_to_name_free <cycle 2> [140]
                0.00    0.00       8/519808999     caar [235]
                0.00    0.00       8/519808999     _cdr_procedure_ [208]
                0.00    0.00       8/519808999     _reverse_procedure_ [197]
                0.00    0.00       9/519808999     add_definition_to_context [202]
                0.00    0.00       9/519808999     add_defs_to_context [198]
                0.00    0.00      10/519808999     mk_set_var_values [139]
